iter	Passed	Remaining
870	1000	148
871	1001	147
872	1002	145
873	1003	144
874	1004	143
875	1005	142
876	1007	141
877	1008	140
878	1009	138
879	1009	137
880	1010	136
881	1011	135
882	1012	134
883	1013	132
884	1014	131
885	1015	130
886	1016	129
887	1017	128
888	1018	127
889	1019	125
890	1020	124
891	1021	123
892	1022	122
893	1022	121
894	1023	120
895	1024	118
896	1025	117
897	1026	116
898	1027	115
899	1028	114
900	1028	113
901	1029	111
902	1030	110
903	1031	109
904	1032	108
905	1033	107
906	1034	106
907	1035	104
908	1036	103
909	1037	102
910	1038	101
911	1039	100
912	1039	99
913	1040	97
914	1042	96
915	1043	95
916	1043	94
917	1044	93
918	1045	92
919	1046	91
920	1048	89
921	1049	88
922	1050	87
923	1051	86
924	1053	85
925	1054	84
926	1055	83
927	1056	81
928	1057	80
929	1058	79
930	1059	78
931	1060	77
932	1061	76
933	1062	75
934	1063	73
935	1064	72
936	1065	71
937	1067	70
938	1068	69
939	1069	68
940	1069	67
941	1070	65
942	1071	64
943	1072	63
944	1073	62
945	1075	61
946	1076	60
947	1077	59
948	1078	57
949	1079	56
950	1080	55
951	1081	54
952	1082	53
953	1083	52
954	1084	51
955	1084	49
956	1085	48
957	1086	47
958	1087	46
959	1088	45
960	1089	44
961	1090	43
962	1091	41
963	1092	40
964	1093	39
965	1094	38
966	1095	37
967	1096	36
968	1097	35
969	1098	33
970	1099	32
971	1100	31
972	1101	30
973	1102	29
974	1103	28
975	1104	27
976	1104	26
977	1105	24
978	1106	23
979	1108	22
980	1108	21
981	1109	20
982	1110	19
983	1111	18
984	1112	16
985	1113	15
986	1114	14
987	1115	13
988	1116	12
989	1117	11
990	1118	10
991	1119	9
992	1120	7
993	1122	6
994	1123	5
995	1124	4
996	1125	3
997	1127	2
998	1128	1
999	1129	0
